text,audio_filepath,utterance_pitch_mean,utterance_pitch_std,snr,c50,speech_duration,speaking_rate,duration,language,speaker,speaker_id,name,PESQ,speaker_name,style,dataset,STOI,SI-SDR,MOS,data
ঘিঁউ গাখীৰ মৌ এইবিলাক আমি মথি সকলো ভকত বৈষ্ণৱক খাবলৈ দিওঁ লক্ষ্মী পূজাতো তেনেকৈ আমি,2533274790435131_chunk_9_enhanced.wav,157.97509765625,18.054786682128903,60.5669174194336,55.207279205322266,8.26875,10.037792894935752,8.3190208333,Assamese,Female,S4259919700334845,2533274790435131_chunk_9_enhanced.wav,2.875,,,IndicVoices-R,0.97265625,12.75,4.381111145019531,/data-3/praveen/ivr
নলবাৰী কলেজখনত আৰ্থিকভাৱে পিছপৰা শ্ৰেণীৰ বাবে বিনামূলীয়া পাঠদানৰ সা সুবিধাও আছে ইয়াৰ বাণিজ্য শাখাৰ উৎকৃষ্টমানৰ পাঠদানৰ সা সুবিধা উপলব্ধ আছে আৰু ইয়াৰ উপৰিও নলবাৰী বেচৰকাৰী বহুতো শিক্ষানুষ্ঠানো আছে,2533274790435337_chunk_7_enhanced.wav,254.71905517578125,39.70249938964844,61.42448425292969,57.08617401123047,18.39375,10.601427115188583,19.3590208333,Assamese,Female,S4258581600373735,2533274790435337_chunk_7_enhanced.wav,3.375,,,IndicVoices-R,0.9765625,21.75,4.570774078369141,/data-3/praveen/ivr
বিভিন্ন ধৰণে বিভিন্নজনে বিভিন্ন ফেছ ৱাছৰ কথা কৈছিলে তেনেকুৱা আনি মই লগাইছিলোঁ কিন্তু ক তো ভাল ফল পোৱা নাছিলোঁ শেষত মোৰ এজনী বান্ধৱীয়ে ক লে তাইৰো বহুখিনি হৈছিলে মই নিজেও দেখা পাইছিলোঁ,2533274790433725_chunk_2_enhanced.wav,205.25338745117188,39.96332550048828,64.11773681640625,57.93402099609375,11.103750000000002,16.390858944050432,11.1040208333,Assamese,Female,S4257038000302046,2533274790433725_chunk_2_enhanced.wav,3.484375,,,IndicVoices-R,0.984375,21.25,4.451809883117676,/data-3/praveen/ivr
মোৰ ইণ্ডিয়াৰ ভিতৰতো বেলেগ বেলেগ জেগাত যাব মন যেনেকে মুম্বাই মুম্বাইৰ আমি সপোনৰ চহৰ বুলিও ক ব পাৰোঁ কাৰণ তাতে বহুতৰ ড্ৰীমচ যি যি হ বৰ মন সিহঁতৰ হৈছে সেনেকে মানুহবিলাকে ইয়াতে যায় কামৰ কাৰণে আৰু সিহঁতে যোনটো ভাৱি যায়,2533274790400805_chunk_8_enhanced.wav,196.7216796875,23.191761016845703,61.30271911621094,47.376914978027344,19.676250000000003,10.8252334667429,19.9370208333,Assamese,Female,S4257074300302147,2533274790400805_chunk_8_enhanced.wav,2.8125,,,IndicVoices-R,0.94140625,22.0,3.3843443393707275,/data-3/praveen/ivr
অৰ্কিড পাৰ্ক যোনখন তাত গ লোঁ অৰ্কিড পাৰ্কৰ বাহিৰত বহুতো দোকান আছিল মোৰ তাৰপৰা এটা মানে এনেকুৱা বাকুল হেট বুলি কয় যোনটো ন,2533274790415693_chunk_25_enhanced.wav,234.7447967529297,70.92842864990234,63.60016250610352,59.67895126342773,9.466875000000002,12.675777381659731,9.6170208333,Assamese,Female,S4259015800377504,2533274790415693_chunk_25_enhanced.wav,3.28125,,,IndicVoices-R,0.9921875,26.375,4.027836799621582,/data-3/praveen/ivr
অকনো মানে পিন্ধিবলে মানে নোৱাৰিয়ে মানে একেবাৰে নোৱাৰি মানে পিন্ধিবলে কি ক ম আৰু এতিয়া আপোনালোকক সেইকাৰণে মানে ফোন কৰিছোঁ আও বেয়া চেয়া নাপাব আও,2533274790435109_chunk_4_enhanced.wav,181.1326599121093,55.55031967163086,66.72080993652344,46.74797439575195,8.201250000000002,17.314433775339122,8.223,Assamese,Female,S4259919700334845,2533274790435109_chunk_4_enhanced.wav,2.140625,,,IndicVoices-R,0.8359375,1.171875,4.403628349304199,/data-3/praveen/ivr
আৰু বহুত ধৰণৰ কাপোৰ এনেকৈ তাঁতশালত বোৱা হয়,2533274790451561_chunk_14_enhanced.wav,213.19493103027344,37.99993896484375,43.19488525390625,59.66411209106445,3.3243750000000003,12.633953750705018,3.3290208333,Assamese,Female,S4256071500390392,2533274790451561_chunk_14_enhanced.wav,3.640625,,,IndicVoices-R,1.0,22.5,4.21152400970459,/data-3/praveen/ivr
আৰু মেডিছিন আৰু দানা দিলেই ন হব মুৰ্গী থাকা জাগাখিনিও চাফা কৰিব লাগিব আৰু চাফা কৰিলে,2533274790454358_chunk_2_enhanced.wav,198.110595703125,31.64804458618164,55.5849609375,58.49613952636719,10.125,8.296296296296296,10.143,Assamese,Female,S4257971000309675,2533274790454358_chunk_2_enhanced.wav,3.5,,,IndicVoices-R,0.9921875,18.375,2.770494222640991,/data-3/praveen/ivr
হয় মই ফ্লিপকাৰ্টৰ পৰা এটা মোবাইল ক্ৰয় কৰিছিলোঁ তাৰ কোৱালিটী খুবেই ভাল আৰু তাৰ কেমেৰাই হওঁক বিভিন্ন ধৰণৰ ইউজ কৰিব পৰা এপসমূহো মানে তাৰ কোৱালিটী মুঠতে বহুত ভাল আৰু মোবাইলটোৰ,2533274790448287_chunk_1_enhanced.wav,253.27322387695312,35.29003143310547,66.64598083496094,59.04810333251953,16.50375,10.3612815269257,17.096,Assamese,Female,S4259724200357338,2533274790448287_chunk_1_enhanced.wav,3.875,,,IndicVoices-R,0.984375,29.75,4.472735404968262,/data-3/praveen/ivr
সেইবিলাকৰ ওপৰত মন্তব্য দিবলৈ ইমানখিনি মই আগ্ৰহীও নহয় কাৰ সেই মোৰ লিখাৰ বিষয়বোৰ তেনেই সাধাৰণ হোৱাটো মই বিচাৰোঁ আৰু অকল তাত যাতে খুহুতীয়াই খুহুতীয়াই কিছুমান কথাই সোমাই থাকে বা ধেমালি বা হাঁহি অলপ সোমাই থাকে,2533274790456157_chunk_11_enhanced.wav,230.291244506836,40.99655151367188,58.95768356323242,48.351295471191406,14.782500000000002,14.00304414003044,14.8480208333,Assamese,Female,S4257885500306732,2533274790456157_chunk_11_enhanced.wav,3.421875,,,IndicVoices-R,0.984375,23.125,4.575989246368408,/data-3/praveen/ivr
অলপমান কুইক হয় আৰু লৰালৰি তাৰমানে পটাপত চাই কাৰণ আক ব্যক্তিগত সেইবিলাক যে পইচা দিবলগীয়া হয় যে পইচা দিলেই কামটো তাৰমানে ফতাফত হয় কিন্তু ব্যক্তিগতত আকৌ প্ৰায় মানুহে যে হেৰিয়লে যায় চৰকাৰীত,2533274790435524_chunk_21_enhanced.wav,211.82069396972656,27.27228164672852,62.84364700317383,36.06758117675781,15.406875000000005,12.007626465457788,15.423,Assamese,Female,S4258119700301437,2533274790435524_chunk_21_enhanced.wav,3.625,,,IndicVoices-R,0.984375,22.625,4.324201583862305,/data-3/praveen/ivr
কথা ক ব পাৰি কৃত্ৰিম বানপানী কামৰূপ মহানগৰৰ মানুহখিনিক বাৰিষাদিনত বিশেষকৈ হাৰাশাস্তি কৰি আহিছে,2533274790400757_chunk_2_enhanced.wav,232.97561645507807,32.70864486694336,66.49369812011719,35.388092041015625,7.408125,12.68877077533114,7.5790208333,Assamese,Female,S4257083500302449,2533274790400757_chunk_2_enhanced.wav,3.359375,,,IndicVoices-R,0.98046875,24.375,4.421600341796875,/data-3/praveen/ivr
মোৰ গুৰু আছিল উপাসনা মহন্ত তো তাতে মই ডান্স শিকিছিলোঁ ক্লাছ টুৰ পৰা টেনলৈকে মই ভাৰত নাত্যমটো কণ্টিনিউ কৰিছিলোঁ আাৰু মোৰ মেট্ৰিকৰ টাইমতো ইলেক্টিভ ছাবজেক্ট ভাৰত নাত্যম আছিল,2533274790428499_chunk_3_enhanced.wav,239.3138122558593,33.10300064086914,57.96381759643555,59.68962478637695,10.074375,16.874495936472485,10.1430208333,Assamese,Female,S4259951900335352,2533274790428499_chunk_3_enhanced.wav,3.6875,,,IndicVoices-R,0.98828125,23.5,4.437751770019531,/data-3/praveen/ivr
আমাৰ এই অঞ্চলত বিভিন্ন ধৰণৰ ফুৰিবলগীয়া ঠাই আছে,2533274790399753_chunk_1_enhanced.wav,221.2595977783203,36.870418548583984,45.07216644287109,58.57162094116211,4.86,9.465020576131687,4.9600208333,Assamese,Female,S4257906700386013,2533274790399753_chunk_1_enhanced.wav,3.9375,,,IndicVoices-R,0.96484375,25.875,4.4781670570373535,/data-3/praveen/ivr
উপযোগিতা বুজি পাওঁ শুদ্ধ ব্যৱহাৰ মানে সন্মান প্ৰতিটো বস্তুতে এটা সন্মান আছে জীৱিত হওক অজীৱ অজৈৱিক হওক,2533274790541969_chunk_41_enhanced.wav,201.41163635253903,68.9206771850586,54.36796951293945,51.4018783569336,7.138125,14.149373960248663,8.6080208333,Assamese,Female,S4257887800306857,2533274790541969_chunk_41_enhanced.wav,3.640625,,,IndicVoices-R,0.98828125,25.0,4.348494052886963,/data-3/praveen/ivr
ফুৰি ভাল পাওঁ আৰু ইয়াতে আমাৰ জাল চালো পাতি থৈ দিয়ে এইবিলাক চাওঁ চাই ভাল লাগে আৰু এই চৰাই চিৰিকটি থকা জেগাত খুব বেছি সেউজীয়া সেউজীয়া জেগা মই বহুত ভাল পাওঁ য ত বতাহ আহি তাকে,2533274790436552_chunk_11_enhanced.wav,234.4419403076172,65.25606536865234,55.81901550292969,52.6688117980957,12.133125000000003,14.423324576314837,12.159,Assamese,Female,S4259530100397673,2533274790436552_chunk_11_enhanced.wav,3.296875,,,IndicVoices-R,0.96875,17.875,4.347849845886231,/data-3/praveen/ivr
গাঁৱত শ সৎকাৰ ধৰ্মীয় সম্বন্ধীয় আচাৰ অনুষ্ঠানবোৰ কৰা হয়,2533274790430937_chunk_18_enhanced.wav,252.3217315673828,68.94869232177734,53.41926574707031,29.542591094970703,8.032500000000002,6.72268907563025,8.0350208333,Assamese,Female,S4259747600357509,2533274790430937_chunk_18_enhanced.wav,3.59375,,,IndicVoices-R,0.98828125,27.875,4.324143886566162,/data-3/praveen/ivr
আনহাতে মই থকা অঞ্চলটোত মাহ কৰায়ো এবিধ পৰম্পৰাগত খাদ্যৰ ভিতৰতে পৰে মাহ কৰাই মাঘ বিহুত সাধাৰণতে প্ৰস্তুত কৰা হয়,2533274790481031_chunk_44_enhanced.wav,234.71453857421875,26.48125648498535,53.63742446899414,57.04755783081055,12.150000000000002,8.971193415637858,12.161,Assamese,Female,S4259684800335416,2533274790481031_chunk_44_enhanced.wav,3.328125,,,IndicVoices-R,0.98828125,16.125,4.312289714813232,/data-3/praveen/ivr
বিয়াৰ নিয়ম নীতিৰে ধুনীয়াকৈ হোম যজ্ঞ পাতে কিছুমানে কিছুমানে মালা দৰাৰ গলত কইনাই মালা পিন্ধাই কইনাই দৰা গলত মালা মালাবৰণ বিয়া পাতে কিছুমানে হোম যজ্ঞ পাতি বিয়া পাতে কিছুমানে ভকতীয়া নিয়মত বঠিৰে বিয়া পাতে পাতি উঠি,2533274790460083_chunk_35_enhanced.wav,197.4496307373047,33.38235855102539,58.05556488037109,52.68098068237305,18.073125,11.508801051284712,18.111,Assamese,Female,S4257307200368499,2533274790460083_chunk_35_enhanced.wav,3.234375,,,IndicVoices-R,0.96484375,21.125,3.5433013439178467,/data-3/praveen/ivr
যিবোৰ বিভিন ঔষধি গুণত প্ৰয়োজন হয় আৰু আমি সেইবোৰ দৈনন্দিন জীৱনত আমাক প্ৰয়োজন হৈয়ে থাকে,2533274790481417_chunk_13_enhanced.wav,156.1749267578125,36.1074104309082,57.665863037109375,57.10719299316406,8.015625,10.60428849902534,8.031,Assamese,Male,S4259617600335306,2533274790481417_chunk_13_enhanced.wav,3.484375,,,IndicVoices-R,0.94140625,21.125,4.223313331604004,/data-3/praveen/ivr
হোম পুৰা হয় বা মানে বামুণীয়া নিয়মবিলাকত হোম পুৰা হয় তাৰ পিছত বেংগলীবিলাকে বেংগলী নিয়মত পাতে,2533274790478165_chunk_11_enhanced.wav,112.0254364013672,18.08151626586914,59.85610580444336,55.54296875,5.906249999999999,15.40740740740741,5.92,Assamese,Male,S4258364900368020,2533274790478165_chunk_11_enhanced.wav,3.109375,,,IndicVoices-R,0.9609375,19.375,4.358837127685547,/data-3/praveen/ivr
আৰু আছে আপোনাৰ বিক্ৰম ছাৰাভাই ভাৰতৰ,2533274790452973_chunk_19_enhanced.wav,110.26712799072266,9.104082107543944,57.43375396728516,58.83342361450195,4.775625,7.328883653971993,5.0290208333,Assamese,Male,S4257845200306498,2533274790452973_chunk_19_enhanced.wav,3.484375,,,IndicVoices-R,0.99609375,24.5,4.226553440093994,/data-3/praveen/ivr
ইংৰাজী আৰু হিন্দী ভাষা আমি যেনেকে গুৰুত্ব দিওঁ ঠিক তেনেকে অসমীয়া ভাষাটোও গুৰুত্ব দি অসমীয়া ভাষাটো আচলতে জীয়াই ৰখাৰ অসমীয়া ভাষাটো সঠিক আৰু শুদ্ধভাৱে শিকাত প্ৰয়াস কৰিব লাগে,2533274790537075_chunk_14_enhanced.wav,177.28076171875,33.52629852294922,66.04483795166016,45.62331771850586,10.108125,16.818153712978418,10.142,Assamese,Male,S4257869700306958,2533274790537075_chunk_14_enhanced.wav,3.890625,,,IndicVoices-R,0.9921875,20.25,4.457249164581299,/data-3/praveen/ivr
আৰু আহোম ৰজাৰ যি অৱদান সেই অৱদানত সকলো সমগ্ৰ অসম অসম,2533274790551083_chunk_21_enhanced.wav,144.91845703125,20.74949073791504,56.63162612915039,37.34114456176758,7.678125,6.772486772486772,8.707,Assamese,Male,S4258308100316579,2533274790551083_chunk_21_enhanced.wav,3.140625,,,IndicVoices-R,0.95703125,18.875,4.193152904510498,/data-3/praveen/ivr
ইয়াৰ ইয়াৰ গোন্ধটো মানুহে,2533274790521766_chunk_7_enhanced.wav,141.41220092773438,27.992889404296875,65.8060073852539,51.354190826416016,3.61125,6.645898234683282,3.6160208333,Assamese,Male,S4258785300344743,2533274790521766_chunk_7_enhanced.wav,4.3125,,,IndicVoices-R,1.0,29.625,4.259169578552246,/data-3/praveen/ivr
সূৰ্য অস্ত যোৱাৰ যিটো সময় পাহাৰৰ কাষেদি সূৰ্যটো অস্ত গৈছে তাৰ মানে হেঙুলীয়া পোহৰ সেই পানীত পৰিছে পানীবোৰ ঢৌ খেলি খেলি নাচিছে মানে কি এক মানে নান্দিক দৃশ্য নহয় ভাবিব নোৱাৰোঁ মানে,2533274790449476_chunk_5_enhanced.wav,164.6966552734375,45.041725158691406,61.29320907592773,39.51750183105469,15.103125000000002,11.719428926132837,15.1560208333,Assamese,Male,S4256013200300033,2533274790449476_chunk_5_enhanced.wav,3.140625,,,IndicVoices-R,0.96875,19.875,4.44735860824585,/data-3/praveen/ivr
মোৰ জীৱনত মনত থকা পাঁচটা দিনাংক মই ব্যক্ত কৰিব বিচাৰিম,2533274790447684_chunk_1_enhanced.wav,108.78546905517578,16.5535831451416,33.01780700683594,50.34608840942383,4.471875,12.075471698113208,4.4790208333,Assamese,Male,S4259685300335259,2533274790447684_chunk_1_enhanced.wav,3.796875,,,IndicVoices-R,0.99609375,26.25,4.159749031066895,/data-3/praveen/ivr
তেলৰ দাম বাঢ়িছে তেলৰ দাম ধৰক আপোনাৰ এটকা দুটকা বাঢ়ি যায় সেইবুলি আপোনালোকে আকৌ এইফালে দহ টকা বিছ টকা বঢ়াই দিলে আমাৰ অসুবিধা হয় যে,2533274790543777_chunk_24_enhanced.wav,133.9332275390625,47.939571380615234,47.16888427734375,34.02836608886719,9.804375,13.055396187926307,9.857,Assamese,Male,S4258325400368570,2533274790543777_chunk_24_enhanced.wav,3.515625,,,IndicVoices-R,0.984375,21.75,4.484574794769287,/data-3/praveen/ivr
সাত মাৰ্চ ঊনৈছশ বিয়ান্নব্বৈ বাৰ অক্টোবৰ দুহেজাৰ চাৰি দহ ছেপ্টেম্বৰ ঊনৈছশ নিৰানব্বৈ এঘাৰ ছেপ্টেম্বৰ ঊনৈছশ বিৰান্নব্বৈ ত্ৰিছ ডিচেম্বৰ ঊনৈছশ ছিয়াশী,2533274790524684_chunk_1_enhanced.wav,162.90249633789062,54.7833251953125,69.32020568847656,57.920597076416016,15.288750000000002,9.4186902133922,17.1540208333,Assamese,Male,S4258833900346168,2533274790524684_chunk_1_enhanced.wav,3.15625,,,IndicVoices-R,0.97265625,17.625,4.5006184577941895,/data-3/praveen/ivr
যাৰ যাৰ ফলত আমি অতিৰিক্ত সামগ্ৰী এইবোৰ অতিৰিক্ত সামগ্ৰী হিচাপে বিক্ৰী কৰিব পাৰোঁ আৰু,2533274790448134_chunk_9_enhanced.wav,141.1887664794922,22.354936599731445,39.2409553527832,59.44326400756836,6.294375,13.34524873398868,6.3030208333,Assamese,Male,S4258312000368144,2533274790448134_chunk_9_enhanced.wav,3.421875,,,IndicVoices-R,0.99609375,20.875,4.077250957489014,/data-3/praveen/ivr
আপুনি যেনেকেই হওক আমাক যোগাৰটো কৰি দিব আৰু তাৰপিছত আপুনি আমাক আঠ তাৰিখে আপুনি এক আপুনি ফোন এটা কৰি ল ব আগতিয়াকে ঠিক আছে ধন্যবাদ,2533274790428629_chunk_8_enhanced.wav,136.93922424316406,29.7260971069336,62.38105010986328,48.48714828491211,9.28125,13.683501683501683,9.5670208333,Assamese,Male,S4258837400346059,2533274790428629_chunk_8_enhanced.wav,3.421875,,,IndicVoices-R,0.9921875,21.0,4.474487781524658,/data-3/praveen/ivr
ইয়াৰ ভিতৰত এটা আটাইতকৈ সাধাৰণ প্ৰতিযোগিতা হ ল মিশ্ৰিত শৈলীৰ প্ৰতিযোগিতা য ত প্ৰতিযোগীসকলে পইণ্ট লাভ কৰিবলৈ বিভিন্ন ধৰণৰ ষ্ট্ৰাইক থ্ৰ আৰু হ ল্ড প্ৰয়োগ কৰে,2533274790427329_chunk_1_enhanced.wav,162.4906463623047,52.16914749145508,69.338134765625,45.747745513916016,15.069375,10.285761685537722,16.295,Assamese,Male,S4259085800376503,2533274790427329_chunk_1_enhanced.wav,3.9375,,,IndicVoices-R,0.9765625,26.25,3.739192247390747,/data-3/praveen/ivr
আমাৰ গাঁৱত এই লাইব্ৰেৰী নাই আচলতে সৰু গাঁও লাইব্ৰেৰী লাইব্ৰেৰীটো দূৰৰ কথা আচলতে পঢ়া শুনা মানুহেই শিক্ষিত মানুহেই বহুত কম আছে,2533274790421107_chunk_2_enhanced.wav,120.9297103881836,19.34734916687012,33.486305236816406,56.509124755859375,7.728750000000001,16.043991589843117,7.7440208333,Assamese,Male,S4256176700393168,2533274790421107_chunk_2_enhanced.wav,3.6875,,,IndicVoices-R,0.9921875,23.625,4.165268898010254,/data-3/praveen/ivr
তাৰ পিছত মানে আমাৰ গাঁৱত আও নিজএ নিজে মানে হেৰি কৰি কিনে খেলোঁ আও কিমান অভাৰ খেল খেলোঁ সেইটো মানে আমা গাঁৱৰ আমি যোনখিনি খেলোঁ সে তাৰ ওপৰতে মানে হেৰি হৈ কিনে খেলোঁ কিকেট,2533274790531195_chunk_7_enhanced.wav,110.58594512939452,14.316325187683104,45.76860809326172,58.75756072998047,15.710625,10.693400167084375,15.7140208333,Assamese,Male,S4258235400382529,2533274790531195_chunk_7_enhanced.wav,3.953125,,,IndicVoices-R,0.98828125,28.25,3.951394081115722,/data-3/praveen/ivr
তাৰ কিছুমান আৰু কিছুমান মুখ্য কেৰেক্টাৰ আছিল যেনেকে বাৰ্লিন আছিল বা টকিঅ,2533274790429150_chunk_14_enhanced.wav,116.1492691040039,22.810020446777344,69.97129821777344,57.82291793823242,6.6825,10.774410774410777,6.69,Assamese,Male,S4256026700301598,2533274790429150_chunk_14_enhanced.wav,4.0625,,,IndicVoices-R,1.0,25.875,4.554954528808594,/data-3/praveen/ivr
আশা কৰা মতে দুই এটাই হয়তো পাইছে কাৰিকৰী বিষয়ত কিন্তু,2533274790401132_chunk_6_enhanced.wav,127.3574676513672,25.14097213745117,67.9345932006836,58.28609085083008,5.94,8.754208754208754,6.0170208333,Assamese,Male,S4259337100345430,2533274790401132_chunk_6_enhanced.wav,3.984375,,,IndicVoices-R,0.99609375,26.625,4.420858383178711,/data-3/praveen/ivr
এনেকে মই খেলি গৈছোঁ আৰু কি হয় নাজানো আৰু এনেকৈ খেলি থাকিম আৰু কিন্তু পেচা হিচাপে নহয় মই নিচা হিচাপেহে ক্ৰিকেটটো খেলোঁ ভাল লাগে সেইকাৰণে খেলোঁ আৰু,2533274790427526_chunk_11_enhanced.wav,119.9853744506836,26.04759979248047,54.69607925415039,59.54754638671875,8.420625000000001,17.21962443405329,8.7040208333,Assamese,Male,S4258392200368888,2533274790427526_chunk_11_enhanced.wav,3.796875,,,IndicVoices-R,0.98828125,24.625,4.361956596374512,/data-3/praveen/ivr
ধুনীয়াকে মানে সকলোৱে দেখা শুনাকে এসাঁজ মানে প্ৰীতি ভোজ খোৱা হয়,2533274790418452_chunk_12_enhanced.wav,104.48883056640624,14.237934112548828,61.72164916992188,52.334693908691406,4.117500000000001,15.543412264723738,4.191,Assamese,Male,S4259701100368291,2533274790418452_chunk_12_enhanced.wav,2.5,,,IndicVoices-R,0.8671875,14.5,4.05927848815918,/data-3/praveen/ivr
আৰু দুজনী গাই গৰু আছে খৰালিতো মই গৰুবিলাক পথাৰতে মেলি দিওঁ,2533274790416778_chunk_2_enhanced.wav,135.39329528808594,28.01656913757324,62.96315383911133,59.73307037353516,5.349374999999999,10.842388129454378,5.4400208333,Assamese,Male,S4257939000309535,2533274790416778_chunk_2_enhanced.wav,4.15625,,,IndicVoices-R,0.98828125,27.125,4.36640214920044,/data-3/praveen/ivr
আৰু জাল লগাই মাৰিবলৈ গ লেও খন্তেক গৈ মাৰি নিজে খাবৰ কাৰণে,2533274790504320_chunk_2_enhanced.wav,186.7799224853516,42.490631103515625,66.89452362060547,59.27510833740234,5.163749999999999,11.03848946986202,5.2320208333,Assamese,Male,S4258303400314476,2533274790504320_chunk_2_enhanced.wav,4.1875,,,IndicVoices-R,1.0,28.0,4.480644702911377,/data-3/praveen/ivr
