uid,native_word,english_word,source,score,lang
ben81803,নির্দ্বিধায়,nirdwidhaay,AK-Freq,,ben
ben76725,স্বমহিমায়,swamahimaay,AK-Freq,,ben
ben82474,বন্দুকগুলোকে,bandukaguloke,AK-Freq,,ben
ben82264,কেয়ামুদ্দিনের,keyaamuddiner,AK-Freq,,ben
ben80786,উপলক্ষগুলোয়,upalakkhaguloy,AK-Freq,,ben
ben81014,অস্টিনও,astinao,AK-Freq,,ben
ben81901,পাঠাচ্ছেন,paathaachchhen,AK-Freq,,ben
ben78283,ক্ষেত্রজ্ঞং,kshetraggang,AK-Freq,,ben
ben77468,অভিজানাতি,avijaanaati,AK-Freq,,ben
ben78231,মারড়সার,maaradasaar,AK-Freq,,ben
ben80417,ডিমেন্টরেরা,dimentarera,AK-Freq,,ben
ben82705,মেতেছে,metechhe,AK-Freq,,ben
ben79101,মালকারীদের,maalakaareeder,AK-Freq,,ben
ben80793,সর্বপ্রত্যযসাক্ষিণী,sarbapratyajasaakkhinee,AK-Freq,,ben
ben82696,পনুঃ,panuh,AK-Freq,,ben
ben81559,হইলাম,hailaam,AK-Freq,,ben
ben77362,অভিযোগসমূহকে,avizogasamoohake,AK-Freq,,ben
ben80353,কালীপুজো,kaaleepujo,AK-Freq,,ben
brx9041,रंजाखांदोंमोन,rongjhakhangdwngmwn,AK-Freq,,brx
brx5975,खाफाल,kaphal,AK-Freq,,brx
brx1543,आइजोआ,aijwya,AK-Freq,,brx
brx2304,फुंनिफ्रायनो,pungniprainw,AK-Freq,,brx
brx10153,बेखेवयो,bekheoyw,AK-Freq,,brx
brx6165,गोलोमनानै,gwlwmnanwi,AK-Freq,,brx
brx2622,नरब्र,norbro,AK-Freq,,brx
brx986,दैदेनगिरिफोरबादिनो,dwidengirifwrbadinw,AK-Freq,,brx
brx7445,राजबंसि,rajbonshi,AK-Freq,,brx
brx9900,जोंखोलसै,jwngkhwlswi,AK-Freq,,brx
brx2865,लुनायनि,lunaini,AK-Freq,,brx
brx8839,सांग्रांथिखौबो,sangrangtikwobw,AK-Freq,,brx
brx4388,सेक,sek,AK-Freq,,brx
brx4029,आरजिनाय,arjinai,AK-Freq,,brx
brx716,फावखुंग्रिफोरनि,faokhungrifwrni,AK-Freq,,brx
brx9356,जोंबा,jwngba,AK-Freq,,brx
brx5321,साग्लोबनायाबो,saglwbnayabw,AK-Freq,,brx
brx4286,हानाया,hanaya,AK-Freq,,brx
brx1375,दाफुंजानाय,danpungjanai,AK-Freq,,brx
brx9903,नुथाय,nutai,AK-Freq,,brx
brx2457,हुथ्रुदनायखौ,hudrudnaikhou,AK-Freq,,brx
brx472,सावरायजादोंमोनब्लाबो,saoraijadwngmwnblabw,AK-Freq,,brx
brx6075,लायैयाव,laywiao,AK-Freq,,brx
brx8269,लादोंब्लाबो,ladwngblabw,AK-Freq,,brx
brx1314,गोनांथिआहार,gwnangtiahar,AK-Freq,,brx
brx3895,जथुम्मानि,jotummani,AK-Freq,,brx
brx2930,नायहोनांगौ,naihwnanggwo,AK-Freq,,brx
brx8424,गांनै,gangnwi,AK-Freq,,brx
brx3056,बिलो,bilw,AK-Freq,,brx
brx5796,नंनानै,nangnanwi,AK-Freq,,brx
brx5149,एकुप्रेसारनि,acupressureni,AK-Freq,,brx
brx4705,बेरामा,berama,AK-Freq,,brx
brx1063,खाफालाव,khapalao,AK-Freq,,brx
brx6703,आल्फानि,alphani,AK-Freq,,brx
brx6417,गहाफोरखौ,gohapwrkwo,AK-Freq,,brx
brx767,बिथिङाव,bitingao,AK-Freq,,brx
brx9033,सबाइ,sobai,AK-Freq,,brx
brx7847,थांफ्लांबाबो,tangplangbabw,AK-Freq,,brx
brx1571,फराइगिरिफोरनो,foraigirifwrnw,AK-Freq,,brx
brx2473,भद्रेस्वर,bhodreshwar,AK-Freq,,brx
brx2658,फाहामसालिखौ,fahamsalikwo,AK-Freq,,brx
brx2833,दैथायहरदोंअनलाइन,dwithaihordwngonline,AK-Freq,,brx
brx2583,खुलिदोंमोन,kulidwngmwn,AK-Freq,,brx
brx5328,आफगानफोरनि,afganpwrni,AK-Freq,,brx
brx6190,गिबियावनो,gibiyaonw,AK-Freq,,brx
brx6875,मंगलबारआव,mongolbarao,AK-Freq,,brx
brx7612,बोखांनायाव,bwnkangnayao,AK-Freq,,brx
brx537,जाहैयासै,jahwiyaswi,AK-Freq,,brx
brx8176,हाजोनिफ्राय,hajwnifrai,AK-Freq,,brx
brx3278,खुंनो,kungnw,AK-Freq,,brx
brx5396,दाजाबदेरनानै,dajabdernanwi,AK-Freq,,brx
brx4544,बबाव,bobao,AK-Freq,,brx
brx1576,महामानब,mohamanob,AK-Freq,,brx
brx1929,बैसोरनैनि,bwiswrnwini,AK-Freq,,brx
brx4725,सरबट,sorbot,AK-Freq,,brx
brx2204,दाबिनाय,dabinai,AK-Freq,,brx
brx5762,बुथाराखै,butarakwi,AK-Freq,,brx
brx4270,सोमजिखांदोंब्ला,swmjikangdwngbla,AK-Freq,,brx
brx1526,सानखांनायनिफ्रायनो,sankangnainiprainw,AK-Freq,,brx
brx4815,सोलोंसालिआव,swlwngsaliao,AK-Freq,,brx
brx5853,नोङो,nwngw,AK-Freq,,brx
brx5815,सिबियारिफोरनिफ्राय,sibiaripwrniprai,AK-Freq,,brx
brx7799,फोरोंगिरिआनो,fwrwngirianw,AK-Freq,,brx
brx4007,आगजु,aagju,AK-Freq,,brx
brx141,आंखालाव,angkhalao,AK-Freq,,brx
brx6868,नायनायाव,nainayai,AK-Freq,,brx
brx4600,बेफ्रुहोनाय,befruhwnai,AK-Freq,,brx
brx8433,दिन्थियाबो,dinthiyabw,AK-Freq,,brx
brx3654,खालामाखै,kalamakwi,AK-Freq,,brx
brx7811,नांखांनो,nangkangnw,AK-Freq,,brx
brx5635,देंखो,dengkw,AK-Freq,,brx
brx5818,तिताबरखौ,titaborkwo,AK-Freq,,brx
brx1289,रेलिजों,rallyjwng,AK-Freq,,brx
brx3452,फाहामनायनि,fahamnaini,AK-Freq,,brx
brx7698,बुद्रुना,budruna,AK-Freq,,brx
brx5272,हानांगोन,hanangwn,AK-Freq,,brx
brx2981,आइजोनि,aijwni,AK-Freq,,brx
brx7120,बसुमथारिनि,basumataryni,AK-Freq,,brx
brx7382,दैदेनगोनगोदान,dwidengwngwdan,AK-Freq,,brx
brx5860,फरायलांदोंमोन,porailangdwngmwn,AK-Freq,,brx
brx6009,अनसायजादोंअनलाइन,onsaijadwngonline,AK-Freq,,brx
brx10123,लानो,lanw,AK-Freq,,brx
brx9489,बेक्टेरियानि,bacteriani,AK-Freq,,brx
brx3283,बावहरो,baohorw,AK-Freq,,brx
brx7386,मुलुग,mulug,AK-Freq,,brx
brx4972,सोनाब,swnab,AK-Freq,,brx
brx4513,जादोंब्लाबो,jadwngblabw,AK-Freq,,brx
brx3103,दंमोनब्ला,dongmwnbla,AK-Freq,,brx
brx962,नयुंनिफ्राय,nounniprai,AK-Freq,,brx
brx10378,मोनब्रै,mwnbrwi,AK-Freq,,brx
brx7152,रुजुनांगौ,rujunanggwo,AK-Freq,,brx
brx8053,दिहुननायमोन,dihunnaimwn,AK-Freq,,brx
brx154,काउन्टारनिफ्राय,counternifrai,AK-Freq,,brx
brx4876,नेग्राफोरखौ,negrapwrkwo,AK-Freq,,brx
brx2467,सिंजों,singjwng,AK-Freq,,brx
brx8089,लाखिनायनि,lakinaini,AK-Freq,,brx
brx6556,गोबिन्द,gwbindo,AK-Freq,,brx
brx5514,जोहै,jahwi,AK-Freq,,brx
brx7990,मर्बआ,morba,AK-Freq,,brx
brx1201,जुलाइआव,julyao,AK-Freq,,brx
guj90287,ગાયોને,gaayoney,AK-Freq,,guj
guj86901,વસ્તુમાં,wastumaam,AK-Freq,,guj
guj92163,ખસેડવું,khasedavum,AK-Freq,,guj
guj91460,લાવવો,laavavo,AK-Freq,,guj
guj87842,બેસેલા,besela,AK-Freq,,guj
guj88516,પ્રવાસીઓના,prawasiona,AK-Freq,,guj
guj89712,ગયેલાં,gayelaam,AK-Freq,,guj
guj89018,વાતોનું,waatonum,AK-Freq,,guj
guj90082,અધિકારીઓનો,adhikaariono,AK-Freq,,guj
guj87221,અક્ષરનાદ,aksharanaad,AK-Freq,,guj
guj89217,ફેસલો,phaysalo,AK-Freq,,guj
guj92944,પુરઝડપે,purazadape,AK-Freq,,guj
guj90730,ખવડાવો,khavadavo,AK-Freq,,guj
guj92529,વાળંદ,valand,AK-Freq,,guj
guj90383,વેન્ટિલેટેડ,wentileted,AK-Freq,,guj
guj88777,હવાલાથી,hawaalaathee,AK-Freq,,guj
guj89938,તાબે,taabay,AK-Freq,,guj
guj90483,વિહંગાવલોકન,vihangaavalokan,AK-Freq,,guj
guj91768,હવાલાથી,havaalaathee,AK-Freq,,guj
guj89934,માપે,maapay,AK-Freq,,guj
guj88568,નમુનાઓને,namunaaone,AK-Freq,,guj
guj92813,પોલીયુરેથીન,poleeyuretheen,AK-Freq,,guj
guj89091,મેનૂમાંથી,menumanthi,AK-Freq,,guj
guj91441,પાપો,paapo,AK-Freq,,guj
guj89882,દંપતીએ,dampatie,AK-Freq,,guj
guj87307,નોકરીને,nokareene,AK-Freq,,guj
guj91806,ગંઠાઈ,ganthai,AK-Freq,,guj
guj87016,ઓફિસમાંથી,ofisamaanthee,AK-Freq,,guj
guj91542,સળીયાથી,saliyaathi,AK-Freq,,guj
guj89134,બસમાંથી,basamaanthi,AK-Freq,,guj
guj87858,પોચી,pochi,AK-Freq,,guj
guj88839,તપાસને,tapaasanay,AK-Freq,,guj
guj92587,નફારૂપી,napharoopi,AK-Freq,,guj
guj90976,ગુરુવારના,guruwaarana,AK-Freq,,guj
guj91875,અળગા,alga,AK-Freq,,guj
guj92601,અભિનેતાએ,abhinaytaae,AK-Freq,,guj
guj87816,ફટકાર,fatakar,AK-Freq,,guj
guj92015,ફૂલદાની,phooladaanee,AK-Freq,,guj
guj92758,ઇજાગ્રસ્તોને,ijaagrastoney,AK-Freq,,guj
guj91570,વાડીએ,waadie,AK-Freq,,guj
guj91800,યુવતીઓની,yuvateeonee,AK-Freq,,guj
guj92590,સાંભળશે,saambhalashe,AK-Freq,,guj
guj88161,ઉકાળવા,ukaalava,AK-Freq,,guj
guj92960,દારૃના,darruna,AK-Freq,,guj
guj92931,બેહાલ,behaal,AK-Freq,,guj
guj88399,ડિસે,disey,AK-Freq,,guj
guj90494,ગ્રાહ્ય,grahya,AK-Freq,,guj
guj87951,અતિસંવેદનશીલતા,atisamweydanasheelata,AK-Freq,,guj
guj89813,સાડીમાં,sadimam,AK-Freq,,guj
guj88552,ભૂખે,bhookhey,AK-Freq,,guj
guj87186,વાયદામાં,vaayadaamaam,AK-Freq,,guj
guj86954,દરમીયાન,daramiyaan,AK-Freq,,guj
guj89354,ફરીયાદો,fariyado,AK-Freq,,guj
guj90188,ખંખેરી,khankheyree,AK-Freq,,guj
guj90173,અપાવશે,apaawashe,AK-Freq,,guj
guj91880,હટાવો,hataavo,AK-Freq,,guj
guj86839,મેનિપ્યુલેશન્સ,meynipyuleyshans,AK-Freq,,guj
guj87411,અમોને,amone,AK-Freq,,guj
guj89160,હિંસાને,hinsaane,AK-Freq,,guj
guj90004,ચૂંટણીપંચ,chootanipanch,AK-Freq,,guj
guj89398,શ્વાસનળીની,shwaasanaleenee,AK-Freq,,guj
guj91033,મેલોડી,melody,AK-Freq,,guj
guj87399,બુમો,bumo,AK-Freq,,guj
guj87114,તોડવાની,todawaanee,AK-Freq,,guj
guj90744,કમાવા,kamava,AK-Freq,,guj
guj90558,અશિષ્ટ,ashisht,AK-Freq,,guj
guj92876,ત્વચાનો,twachaano,AK-Freq,,guj
guj92935,પ્રવાસીઓના,pravaaseeona,AK-Freq,,guj
guj91900,ઘવાયેલા,ghawayela,AK-Freq,,guj
guj87129,બંધાયા,bandhaaya,AK-Freq,,guj
guj88640,મટાડવું,matadvum,AK-Freq,,guj
guj91608,ગઢવીએ,gadhawie,AK-Freq,,guj
guj91885,અસંસ્કારી,asanscaaree,AK-Freq,,guj
guj88170,રાષ્ટ્રગીત,raashtragit,AK-Freq,,guj
guj89442,પત્નીનો,patnino,AK-Freq,,guj
guj89021,પેશીઓના,peysheeona,AK-Freq,,guj
guj90507,ઑડેસા,odessa,AK-Freq,,guj
guj87194,ચુક્યાં,chukyam,AK-Freq,,guj
guj92410,શનિવારથી,shaniwaarathee,AK-Freq,,guj
guj87336,ચુકેલી,chukaylee,AK-Freq,,guj
guj92631,બગડેલું,bagadaylum,AK-Freq,,guj
guj90666,ચર્મપત્ર,charmapatr,AK-Freq,,guj
guj87687,સિધ્ધિ,sidhdhi,AK-Freq,,guj
guj90402,લખાવી,lakhawi,AK-Freq,,guj
guj87532,ઝવેરાત,zavayraat,AK-Freq,,guj
guj90192,ક્યાંકને,kyaankanay,AK-Freq,,guj
guj88120,કાનને,kaananey,AK-Freq,,guj
guj88909,ચૂકવશે,chookawashe,AK-Freq,,guj
guj92063,વાહકો,waahako,AK-Freq,,guj
guj87904,ઘુસીને,ghusine,AK-Freq,,guj
guj88106,બહુવચન,bahuwachan,AK-Freq,,guj
guj87767,યોજનાઓના,yojanaona,AK-Freq,,guj
guj89516,ચરબીવાળા,charabeewaala,AK-Freq,,guj
guj89413,આઠેક,aatheyk,AK-Freq,,guj
guj88705,ગુમાવીને,gumaaweeney,AK-Freq,,guj
guj90265,માતાઓને,maataaone,AK-Freq,,guj
guj87634,આતંકીઓના,aatankeeona,AK-Freq,,guj
guj87622,મુશળધાર,mushaladhar,AK-Freq,,guj
guj91752,નીવડશે,niwadashe,AK-Freq,,guj
guj88220,જોડવું,jodawum,AK-Freq,,guj
hin30362,स्वास्थ्यः,swaasthyah,AK-Freq,,hin
hin28793,हरसम्भव,harasambhaw,AK-Freq,,hin
hin27117,स्क्रप्लि,skrapli,AK-Freq,,hin
hin25989,आईपीएलः,iplh,AK-Freq,,hin
hin29300,अगाया,agaayaa,AK-Freq,,hin
hin32727,लड़खड़ाता,ladhakhadhaataa,AK-Freq,,hin
hin26624,वनेट,vanet,AK-Freq,,hin
hin31831,क्रीं,krin,AK-Freq,,hin
hin31819,सूर्यप्रताप,sooryaprataap,AK-Freq,,hin
hin29012,डब्ल्यूएसएडी,wsad,AK-Freq,,hin
hin31322,दुराग्रहों,duraagrahon,AK-Freq,,hin
hin27084,शिष्याओं,shishyaaon,AK-Freq,,hin
hin29770,जनसुविधा,janasuvidhaa,AK-Freq,,hin
hin30492,दिव्यांंग,divyaang,AK-Freq,,hin
hin26239,ज्योतिषशात्रियों,jyotishashaatriyon,AK-Freq,,hin
hin32267,चाहवान,chaahavaan,AK-Freq,,hin
hin32162,चूकीं,chookeen,AK-Freq,,hin
hin29477,पितृगण,pitrugan,AK-Freq,,hin
hin28307,नामजदों,naamajadon,AK-Freq,,hin
hin32422,काउदय,kaaudaya,AK-Freq,,hin
hin29994,दिखायेगी,dikhayegee,AK-Freq,,hin
hin27291,बहुरूपदर्शक,bahuroopadarshak,AK-Freq,,hin
hin25380,कलतनकलत,kalatanakalat,AK-Freq,,hin
hin27428,आस्थियों,aasthiyon,AK-Freq,,hin
hin28921,यादप्यार,yaadapyaar,AK-Freq,,hin
hin29603,ग्रहादि,grahaadi,AK-Freq,,hin
hin27954,रवायतों,ravaayaton,AK-Freq,,hin
hin33672,मोनथस,monathas,AK-Freq,,hin
hin32034,ऐप्लिकेशंस,aiplikeshans,AK-Freq,,hin
hin29171,अवेध,awedh,AK-Freq,,hin
hin25194,ऑटोग्राम,autogram,AK-Freq,,hin
hin31084,प्रेमपालसिंह,prempalsinh,AK-Freq,,hin
hin31316,झिंझोड़,zinzodh,AK-Freq,,hin
hin26282,शुभकानाएं,shubhakaanaaen,AK-Freq,,hin
hin30262,बालदाचीनो,baaladaacheeno,AK-Freq,,hin
hin26402,टेक्सप्रोकिल,teksaprokil,AK-Freq,,hin
hin29430,नवीकृत,navikrut,AK-Freq,,hin
hin30477,ग्लैंड्स,glainds,AK-Freq,,hin
hin32147,विद्यालयो,vidyaalayo,AK-Freq,,hin
hin25489,चुनाैती,chunautee,AK-Freq,,hin
hin30853,बम्म,bamm,AK-Freq,,hin
hin27748,व्यवसायाने,vyavasaayaane,AK-Freq,,hin
hin25775,हिरणमगरी,hiranamagaree,AK-Freq,,hin
hin31203,कमिशरी,kamisharee,AK-Freq,,hin
hin29230,विद्यालयीन,vidyaalayeen,AK-Freq,,hin
hin26122,सराहेंगे,sarahenge,AK-Freq,,hin
hin31029,वेचेल,wechel,AK-Freq,,hin
hin29179,डरवाड़,daravaadh,AK-Freq,,hin
hin27171,चिपकारियों,chipakaariyon,AK-Freq,,hin
hin30102,हंसदेहर,hansadehar,AK-Freq,,hin
hin27829,ललचने,lalachane,AK-Freq,,hin
hin26917,रद्दीकरण,raddeekaran,AK-Freq,,hin
hin29706,लंज,lanj,AK-Freq,,hin
hin32046,शामती,shaamatee,AK-Freq,,hin
hin31248,कमलहसन,kamalhasan,AK-Freq,,hin
hin25531,ओडिएफ,odf,AK-Freq,,hin
hin27064,ब्लेन्क,blenk,AK-Freq,,hin
hin33413,हसोड़,hasodh,AK-Freq,,hin
hin30244,वयस्त,vayast,AK-Freq,,hin
hin27990,जाफरखानी,jaafarakhaanee,AK-Freq,,hin
hin30935,शनिचरी,shanicharee,AK-Freq,,hin
hin26469,सीहा,seehaa,AK-Freq,,hin
hin29786,ग़ज़वे,ghajhave,AK-Freq,,hin
hin24998,नाबलिग,naabalig,AK-Freq,,hin
hin30934,पुरस्कारः,puraskaarah,AK-Freq,,hin
hin27300,हमलावारों,hamalaavaaron,AK-Freq,,hin
hin28723,होऊंगी,houngee,AK-Freq,,hin
hin32196,उफभोक्ता,ufabhoktaa,AK-Freq,,hin
hin31762,अपनायेंगे,apanaayenge,AK-Freq,,hin
hin26140,कंसा,kansaa,AK-Freq,,hin
hin27567,पढ़ायें,padhaayen,AK-Freq,,hin
hin30253,अभक्ष्य,abhakshya,AK-Freq,,hin
hin26714,सिलीसियन,sileesiyan,AK-Freq,,hin
hin27418,लोड़,lodh,AK-Freq,,hin
hin28176,निर्ब्या,nirbyaa,AK-Freq,,hin
hin26155,पियक्कड़ों,piyakkadhon,AK-Freq,,hin
hin28783,स्वांतत्रयोत्तर,swaantatrayottar,AK-Freq,,hin
hin27295,चबाया,chabaya,AK-Freq,,hin
hin25181,हरजिंद्रपाल,harjindrapal,AK-Freq,,hin
hin25879,फुप्पो,fuppo,AK-Freq,,hin
hin30755,मावि,maawi,AK-Freq,,hin
hin25098,कैहरबा,kaiharabaa,AK-Freq,,hin
hin24996,साधेगी,sadhegee,AK-Freq,,hin
hin27037,खिलाएगी,khilaaegee,AK-Freq,,hin
hin27808,प्रधिकरण,pradhikaran,AK-Freq,,hin
hin31975,याकि,yaaki,AK-Freq,,hin
hin25783,सर्वशक्तिवान,sarwashaktiwaan,AK-Freq,,hin
hin28262,आईएसीडब्ल्यूसी,iacwc,AK-Freq,,hin
hin26919,मांसाहारियों,mansahariyon,AK-Freq,,hin
hin29880,गुणवत्ताहीन,gunawattaaheen,AK-Freq,,hin
hin33606,बवालः,bavalah,AK-Freq,,hin
hin26898,कॉर्ब,korb,AK-Freq,,hin
hin28497,श्रद्धालुगण,shraddhalugan,AK-Freq,,hin
hin30393,गांठने,gaanthane,AK-Freq,,hin
hin26441,बनप,banap,AK-Freq,,hin
hin30221,प्रोपेगेंडे,propegende,AK-Freq,,hin
hin26276,महाभ्रष्ट,mahaabhrasht,AK-Freq,,hin
hin32654,परिक्रमाये,parikramaaye,AK-Freq,,hin
hin31211,संसाधनाें,sansaadhanon,AK-Freq,,hin
hin26853,प्रक्षा,prakshaa,AK-Freq,,hin
ben37116,সুলতানী,shultani,Dakshina,,ben
ben31413,সম্মুখে,sammukhe,Dakshina,,ben
ben15630,সুদক্ষ,sudakkha,Dakshina,,ben
ben20755,কঠিনভাবে,kotheenvabe,Dakshina,,ben
ben6360,ভানুয়াটু,bhanuuyatuu,Dakshina,,ben
ben7455,জীবাশ্মের,jeebaashmer,Dakshina,,ben
ben37218,তাপসী,taposhi,Dakshina,,ben
ben52664,পক্ষপাতমূলক,pokkhopatmulok,Dakshina,,ben
ben39252,উপরেও,uporeo,Dakshina,,ben
ben27949,পিছন,peechhon,Dakshina,,ben
ben53463,সীতাকে,sitakey,Dakshina,,ben
ben72219,কর্পোরেশন,corporetion,Dakshina,,ben
ben10128,কনজারভেটিভ,konjarvetibh,Dakshina,,ben
ben64495,বিবাহপূর্ব,bibahopoorba,Dakshina,,ben
ben72554,ট্রুথ,trooth,Dakshina,,ben
ben49991,উলঙ্গ,ulango,Dakshina,,ben
ben73572,জ্ঞানবিজ্ঞান,gyanvigyan,Dakshina,,ben
ben65519,গ্রামোফোন,gramoophoone,Dakshina,,ben
ben30722,মিথ্যা,miththya,Dakshina,,ben
ben13104,ছবিগুলো,chhobigula,Dakshina,,ben
ben25233,বাহরাইনে,behraine,Dakshina,,ben
ben33753,গঠনশৈলী,gothonshoili,Dakshina,,ben
ben37630,অপরাধের,oporadher,Dakshina,,ben
ben66238,রিস্টার্ট,reeshtart,Dakshina,,ben
ben27115,এমনভাবে,emanbhabe,Dakshina,,ben
ben65531,যৌনবাহিত,jounobahita,Dakshina,,ben
ben28666,কেলেঙ্কারীতে,kelengkariite,Dakshina,,ben
ben53396,আলোকরশ্মির,alokrosshir,Dakshina,,ben
ben16932,রেবতী,reboty,Dakshina,,ben
ben2415,নীরিক্ষা,niriksha,Dakshina,,ben
ben48715,অভিষিক্ত,ovisikto,Dakshina,,ben
ben54075,বেশিদূর,besheedur,Dakshina,,ben
ben62026,প্রভাবও,pravabo,Dakshina,,ben
ben27400,একতরফা,ektorphaa,Dakshina,,ben
ben5870,শিশির,sishir,Dakshina,,ben
ben40146,শীর্ষস্থানে,sheershosthaney,Dakshina,,ben
ben53705,অভিষেকেই,obhishekei,Dakshina,,ben
ben25975,গ্রাহকদের,grahokder,Dakshina,,ben
ben6895,টিশার্ট,teashart,Dakshina,,ben
